id,cs,texto
11,1,"?? #ATENCIÓN | #ECUADOR El ministro de Salud"""" Juan Carlos Zevallos"""" anunció que dos cantones de Galápagos están libres de coronavirus #Covid19. Aquí los detalles &gt"
12,1,"?? #ATENCIÓN | #ECUADOR El ministro de Salud"""" Juan Carlos Zevallos"""" anunció que dos cantones de Galápagos están libres de coronavirus #Covid19. Aquí los detalles &gt"
13,1,Positivo de #Covid_19 en @BarcelonaSC! Este lunes el equipo canario informó de un positivo de coronavirus en el plantel torero De 96 pruebas realizadas en un laboratorio privado que tiene convenio con el plantel amarillo #bsc #covid19 #barcelona #ParaisoDeportivo #toreros https://t.co/5P308rbgSV
14,1,"@ChemistryWorld"""" de la Real Sociedad de Química del Reino Unido (@RoySocChem)"""" destaca el trabajo de Carolina Proaño (@cdproano) en su dirección del primer laboratorio acreditado en la Amazonía para procesar muestras de Covid-19 #IkiamInvestiga http"
15,1,Dirigencia confirmó primer positivo por COVID-19 en #BarcelonaSC ? https://t.co/WAPvBpVm70 https://t.co/uoRjMMhE4R
16,1,Este 1 de junio Santo Domingo de los Tsáchilas registra 1.096 casos positivos de COVID-19.  •983 contagiados en el cantón Santo Domingo •112 contagiados en La Concordia   Hasta el momento existen 75 fallecidos por coronavirus y 21  https://t.co/sujsKbpuEO https://t.co/6GEvi4zZbu
17,1,Ecuador inicia el mes de junio con 39.994 casos positivos de coronavirus y 5.529 fallecidos en el contexto de la pandemia de los cuales 3.394 decesos son confirmados del covid-19 y 2.135 muertes probables.  https://t.co/qh6qZDmAw8 https://t.co/djuplmTpXR
18,1,La presidenta interina de Bolivia Jeanine Añez tomó por sorpresa a sus compatriotas por dos razones: por la premura del anuncio y porque blandió argumentos religiosos contra el covid-19 y les pidió arrepentirse de sus pecados.  https://t.co/bpPsEiT8eG
19,1,"Este derivado de la cloroquina es prohibido en algunos países y fomentada en otros. Pero"""" ¿es o no eficaz para tratar el nuevo coronavirus? ?? https://t.co/8ODtT11i09"
20,1,"A un día de que #Quito pase de semáforo rojo a amarillo"""" la ciudad aún registra un incremento en el número de contagios. Entre el 31 de mayo y el 1 de junio se registran 61 nuevos casos positivos de #Covid_19. » https://t.co/1Hr79RRnHV https://t.co/2m2qCX6DP3"
21,1,[EN RESUMEN] | Hoy en #Ecuador hay 896 nuevos contagios con relación al 31 de mayo. Hay 3.960 recuperados y 52.000 casos descartados. » https://t.co/1Hr79RRnHV #Covid_19 https://t.co/I22qopwTv3
22,1,#ATENCIÓN | 4.583 personas han recibido el alta hospitalaria. Mientras 16.043 pacientes están estables en aislamiento domiciliario. » https://t.co/1Hr79RRnHV  #Covid_19. https://t.co/C7tvmNSbOJ
23,1,#ATENCIÓN | Hoy en #Ecuador hay 3.960 pacientes recuperados y 52.000 casos descartados. » https://t.co/1Hr79RRnHV #Covid_19 https://t.co/87IgqaUMkE
24,1,"Para que una vacuna para el #coronavirus llegue al mercado"""" debe pasar por tres fases de desarrollo y la aprobación de las entidades regulatorias. » https://t.co/B74GjRqsyl #Covid_19"
25,1,Te invitamos a que descubras la felicidad que en #PepiDog podrás encontrar distintas opciones ???? . ?? Hamburguesa Full ?? Hamburguesa Especial ?? Hamburguesa Doble  . ¿Cuál es tu preferida? ?? . . #PepiDog #ElChamoPepiDog #Ecuador #Venezolano #ComidaRapida #COVID-19 #Coronavirus https://t.co/2sMb75qc0M
26,1,"¿Medicina contra el #coronavirus? Los hospitales rusos comenzarán a aplicar un nuevo fármaco a pacientes"""" registrado bajo el nombre de Avifavir"""" desde el 11 de junio. » https://t.co/KADX2F2E27 #COVID_19"
27,1,"https://t.co/dx2Tc1JCjX para informar a la ministra de educación"""" sabios"""" espertos y asesores de presidencia"""" arremete el #Covid_19 #Anonymous #anonymus #LunesDeGanarSeguidores"
28,1,"#Noticias #Ecuador Quito. Un total de 39 098 casos confirmados con pruebas PCR y rápidas como positivos para COVID-19"""" 3 358 personas fallecidas y 3 900 pacientes recuperados del virus. Leer más https://t.co/BYVZJ6K2Nf https://t.co/0XkWWM791g"
29,1,Que sea una mejor para todos sobre todo en la salud de nuestras familias! ???????????????? #Ecuador #DiaDelNino #coronavirus #cuarentena #Covid_19 #CoronavirusEnEcuador #COVID19Ecuador #COVID19ec https://t.co/ravHA3at6Y
30,1,#WQEntretenimiento / Artistas locales participan en el grupo Trueque Guayaquil para intercambiar sus servicios por artículos de su interés en medio de la pandemia por el coronavirus COVID-19.  https://t.co/1wwYIsJKcw https://t.co/K2MqrgSBI0
31,1,así es como se ve la anosmia (alteración del olfato) en MRI en los pacientes covid Magnetic Resonance Imaging Alteration of the Brain in a Patient With Coronavirus Disease 2019 (COVID-19) and Anosmia | Infectious Diseases | JAMA Neurology | JAMA Network https://t.co/XcZT4dJrfb
32,1,??#NOTICIAS:  Las 7 comunidades Tsáchilas fueron declaradas en estado de emergencia por los casos de Covid-19 que se registran en la etnia
33,1,?? #EXCLUSIVA | La población debió afrontar al coronavirus en medio de una infraestructura de salud y vial colapsada. Los detalles ?? https://t.co/9vtg2a59mx
34,1,"??#INTERNACIONAL: Rusia podría tener el primer antiviral contra el covid-19. El Ministerio de Salud aprobó el fármaco Avifavir para el tratamiento del coronavirus. La fórmula estaría compuesta sobre la base de un conocido medicamento"""" favipiravir.   https://t.co/COdUi0jU4J"
35,1,"??#INTERNACIONAL: Rusia podría tener el primer antiviral contra el covid-19. El Ministerio de Salud aprobó el fármaco Avifavir para el tratamiento del coronavirus. La fórmula estaría compuesta sobre la base de un conocido medicamento"""" favipiravir.   https://t.co/4hRaOXErHk"
36,1,El #coronavirus asustado porque puede que #Anonymous también consiga la cura para el Covid-19: https://t.co/rOlSLTagym
37,1,"#Salud | Los derrames cerebrales suelen ser más graves en pacientes con coronavirus #Covid19"""" además de que pueden presentarse en personas cada vez más jóvenes"""" alertó un especialista &gt"
38,1,"Hoy empezarían mis vacaciones de no ser por el covid-19 estaría en Miami ?????? Gracias coronavirus x no dejarme disfrutar de algo q ya tenía planeado pero en fin debo agradecer q estoy saludable y la gente que quiero"""" será para otra oportunidad pero estoy triste es inevitable."
39,1,¡CAZARES POSITIVO PARA COVID-19! ????? .   #100xcientosports #futbol #internacional #notainternacional #atléticomineiro #mineiro #juancazares #cazares #Coronavirus #covid19 . https://t.co/voiYx0omSG ???? https://t.co/TvRgsM1r8j
40,1,"#593NoticiasInforma Afivavir y sus resultados positivos ante el Covid-19"""" hizo que las autoridades sanitarias rusas registraran este producto como el primer fármaco antiviral para tratar el coronavirus. https://t.co/Y2nGZ3IuLE"
41,1,"La @espol jamás se negó a contribuir a la sociedad"""" esta vocación de servicio está consagrada en su misión. Desde antes de la declaración de la pandemia"""" con apoyo de @CEDIAec"""" nuestros investigadores trabajan en una vacuna. Este es tan solo un ejemplo. https://t.co/h746Rpvy0z"
42,1,"Pese a que #Colombia responde de buena forma ante una ola migratoria para la que no está preparada"""" la aparición del #coronavirus ha hecho que unos 65 mil venezolanos decidan retornar a su país"""" según datos de Migración Colombia. ?  https://t.co/8vSYk1BUOj"
43,1,"Con 28.834 muertes por Covid-19"""" Brasil ya se sitúa como el cuarto país con el mayor número de muertes por coronavirus"""" tras haber superado a Francia (28.774 muertes) y a España (27.125)"""" y sólo por detrás de Estados Unidos (103.758)"""" el Reino Unido (38.458) e Italia (33.340)."
44,1,?? #Deportes | El mediocampista ofensivo del Atlético Mineiro dio positivo al #coronavirus en una prueba realizada por el club. Los detalles ? https://t.co/Z4Z49LW4Ey
45,1,"[VIDEO] | Según los expertos"""" la llegada del #coronavirus a América Latina provocó un aumento en la quema de bosques"""" la tala indiscriminada y la cacería ilegal en la Amazonía. » https://t.co/mlJtMTELwQ #Covid_19"
46,1,"??#ATENCIÓN| El #Afivavir no solo es el primer fármaco antiviral registrado en Rusia para tratar el #coronavirus"""" sino quizás la medicina más prometedora para curar de la COVID-19 a nivel mundial  ? https://t.co/GkO2lPAeSI https://t.co/umcOifjENq"
47,1,"El Afivavir no solo es el primer antiviral registrado en Rusia para tratar el coronavirus"""" sino quizás la medicina más prometedora para curar de la Covid-19 a nivel mundial sin embargo"""" está contraindicado para mujeres embarazadas y personas en proceso de planificación familiar. https://t.co/iXuTUIJOzb"
48,1,#URGENTE 1094 casos confirmados de coronavirus en El Oro. 183 fallecidos por COVID-19 en la provincia. https://t.co/Idue7z3FSX
49,1,?? #Actualización | El futbolista ecuatoriano Juan Cazares cumple con un periodo de aislamiento tras dar positivo en prueba de coronavirus #Covid19 &gt
50,1,"Reino Unido comunicó este domingo 113 muertes por COVID-19 en hospitales"""" residencias y domicilios"""" hasta un total de 38.489 fallecidos desde que comenzó la pandemia"""" y detectó 1.936 nuevos contagios de coronavirus. https://t.co/w4XSqvfkIj"
51,1,"#ATENCIÓN | 255 nuevos casos de #coronavirus se registraron en el país"""" entre el 30 y el 31 de mayo"""" según el reporte del COE. Hoy en #Ecuador hay 39.098 casos de #Covid_19. » https://t.co/nx6rjGOprH https://t.co/t774BmrnFG"
52,1,"#ATENCIÓN | De acuerdo con la actualización de cifras de COE"""" hoy en #Ecuador hay 3.358 fallecidos con confirmación de #coronavirus y 2.154 fallecidos probables por #Covid_19. » https://t.co/nx6rjGOprH https://t.co/haqsWDAYHq"
53,1,1.043 casos positivos de COVID-19 registra la provincia Tsáchilas •949 contagiados en el cantón Santo Domingo •94 contagiados en La Concordia   Hasta el momento existen 74 fallecidos por coronavirus y 20 decesos probables de la pandemia   Fuente: COE https://t.co/Hyc0IZekQX https://t.co/jh6ZVrfGsf
54,1,[VIDEO] | Expertos no recomiendas tratamientos alternartivos para “curar” el #coronavirus. De hecho opinan que no tienen un sustento científico y podrían llegar a ser nocivos para la salud. » https://t.co/VTvXxnL1te #Covid_19
55,1,Ivermectina y el Selenio permitirá una convivencia normal con el coronavirus ya que la infección por covid se convertirá en leve y pasajera para llegar a tener una población completamente inmunizada contra el covid sin ningún sistema de vacunación #ivermectina #selenio #Covid_19
56,1,"#Salud | Los derrames cerebrales suelen ser más graves en pacientes con coronavirus #Covid19"""" además de que pueden presentarse en personas cada vez más jóvenes"""" alertó un especialista &gt"
57,1,"#Salud | Los derrames cerebrales suelen ser más graves en pacientes con coronavirus #Covid19"""" además de que pueden presentarse en personas cada vez más jóvenes"""" alertó un especialista &gt"
58,1,"Según un informe de la @opsoms"""" el #COVID19 no se transmite por el aire. Eso implica que no nos contagiamos por respirar en la calle o en un súper y que"""" por tanto"""" no es necesario ni eficaz llevar mascarillas como medida de protección personal. https://t.co/WFW6foNumN"
59,1,...A pesar que el club inició los entrenamientos e informaron que tanto el cuerpo técnico como los jugadores se realizaron las pruebas de COVID-19. La preocupación aumentó tras conocer que los eléctricos tienen ocho positivos a coronavirus.
60,1,"La FIFA"""" el COVID-19 y la salud https://t.co/8gIhQViv9L"
61,1,#ATENCIÓN | Hasta hoy 3.900 pacientes se registran como recuperados. Mientras a 4.476 personas les han dado el alta hospitalaria. » https://t.co/nx6rjGOprH   #Covid_19 https://t.co/APZqGhHA5G
62,1,"#Loja | Andrés Muñoz"""" alcalde de #Saraguro dio positivo al #Covid_19.  Luego de realizarse la prueba de PCR"""" el resultado fue positivo. El burgomaestre se suma a la lista de alcaldes que han dado favorable para coronavirus.  #Noticias #SiguemeLoja #Ecuador https://t.co/0IDbxKUnrg"
63,1,Las cifras de contagios de #Covid_19 del 30 de mayo se dieron a conocer en la madrugada del domingo 31 de mayo. El MSP (@Salud_Ec ) registra 272 nuevos casos de #coronavirus en #Ecuador. » https://t.co/6pW8R7uB7b https://t.co/wGLvUfFosl
64,1,"Hasta el sábado 30 de mayo Ecuador registró 38.843 casos positivos de coronavirus"""" mientras que la cifra de fallecidos en el contexto de la pandemia es de 5.494.    https://t.co/cAwpaBFSW4 https://t.co/rD9e98MVeU"
65,1,"A las 2h20 de este domingo"""" @Salud_Ec  envío el reporte  estadístico de #CoronavirusEnEcuador del sábado 30 de mayo.  Se registraron 38.843 casos positivos de #Covid_19"
66,1,"Primer positivo de #coronavirus en Pucará"""" cantón azuayo"""" reporta su alcalde"""" @LuisYnez6: """"""""presentamos el primer caso positivo de #COVID-19. Es un caso importado de un miembro de la Policía Nacional. Hemos levantado el cerco epidemiológico con los que posiblemente tuvo contacto"""""""". https://t.co/TIQXkRhV1J"
67,1,"@AlfonsoReece @luisesgo Es que lo leo y no lo creo !!! Hay tantas razones    para que sea la covid 19 que me cansaría explicarlo"""" la D del último es disease  en inglés  que sepa no hay EL ENFERMEDAD"""" EL COVID NO EXISTE  este coronavirus es un beta co"
68,1,Pase y vea como nuestras autoridades compraron pruebas PCR para covid-19 en una escala de precios de USD 18 hasta USD 85 por unidad. https://t.co/mnU7wc0rj8 via @primicias
69,1,Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de covid-19?https://t.co/XmOtumGu4L https://t.co/slOCt05N9F
70,1,"[VIDEO] | En medio de la crisis mundial por el #coronavirus"""" la deforestación de la Amazonía brasileña no da tregua. Según el Instituto Nacional de Investigaciones Espaciales la tala en 2020 aumentó 64% respecto al mismo mes del año anterior. » https://t.co/cWib58AD6L #Covid_19"
71,1,Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de covid-19 https://t.co/UZ3Bstpg7X
72,1,#ÑawiMundial PARIS REABRE SUS PARQUES   Los parques de París reabrieron este sábado tras haber protagonizado en el pico de la pandemia de coronavirus COVID-19 la principal batalla pública entre el Gobierno y la Alcaldía de la socialista Anne Hidalgo. https://t.co/WGenGlHj92
73,1,"Todo tiene un lado positivo""""  la pandemia del Coronavirus Covid-19 nos cambió de individualistas a solidarios. (Publicado en diario @Expresoec el 29 de mayo 2020) https://t.co/NDKN9fSxFq"
74,1,"5 MIL PRUEBAS RÁPIDAS FUERON ENVIADAS A TROMPETEROS. PARÁ DIAGNÓSTICO DEL COVID-19  Más 5 mil pruebas rápidas para diagnosticar casos de coronavirus (covid-19) ya fueron entregadas al distrito de #Trompeteros"""" en la provincia de #Loreto. https://t.co/iWo9FSQ0sH"
75,1,#Concierto de 24 horas recauda fondos para apoyar a afectados por #Covid_19  La iniciativa internacional #OneHumanityLive reunió a más de 150 artistas internacionales para llevar un mensaje de paz y esperanza durante la pandemia por #coronavirus https://t.co/ck8O2P9WN4
76,1,"Deibert Román Guzmán se convirtió en el primer futbolista en perder la vida por coronavirus. El boliviano de 25 años jugaba en el club universitario de Beni"""" y en su momento"""" fue parte de las selecciones juveniles del país andino. #Covid_19 #coronavirus https://t.co/3seSUYwSNu"
77,1,"Con 113 años"""" María Branya"""" en abril"""" fue diagnosticada con COVID-19. El último test que le realizaron indica que ha logrado superar el coronavirus.   https://t.co/qSbv7vNhny https://t.co/71ZAtZgQxU"
78,1,@CoronavirusNot4 El Ministerio de Salud del Perú lo publicó en su ewb https://t.co/T6emEncP5V https://t.co/dywf7jRHQo
79,1,Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de COVID-19. ? https://t.co/RCV1M23drB https://t.co/1eSsfRlsTN
80,1,BBC News Mundo - Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de covid-19 https://t.co/D6C3nMPSfC @sol_bra
81,1,"Forbes Conecta: Servicio a domicilio"""" un nicho que será fundamental tras el coronavirus https://t.co/8lexzvNjec https://t.co/2RwFDbK8sp"
82,1,BBC News Mundo - Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de covid-19 https://t.co/WsgDO7mlRi
83,1,"[VIDEO] | La falta de una vacuna o un medicamento 100% efectivo para enfrentar al Covid-19"""" ha provocado que proliferen supuestos tratamientos alternativos. Sin embargo"""" expertos aseguran que estos carecen de bases científicas. » https://t.co/pFMmWFBrvi  #Covid_19"
84,1,?? #COVID19 | Un estudio realizado por el Municipio de #Portoviejo y la UTM determinó que 8 de cada 10 habitantes del cantón no tienen el virus &gt
85,1,"«La felicidad se puede encontrar hasta en los más oscuros momentos"""" si somos capaces de usar bien la luz». J. K. ROWLING.  #Covid_19 #coronavirus"
86,1,Descubre algunas #estrategias y la importancia del diagnóstico digital para las #pymes proponiendo una herramienta concreta para apoyar y acelerar el proceso de #TransformacionDigital ante la crisis del #coronavirus. https://t.co/h9yOuapyVp
87,1,"BBC News Mundo - Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de covid-19 https://t.co/PFxTfRAbqQ  @monserratcream1 @Lenin @Lenin por lo expuesto que no piensen regresar en el julio""""como desean algunos planteles"
88,1,"Cinco integrantes del C.S. Emelec habrían dado positivo en pruebas del Covid-19 . La noticia de que cinco integrantes de Emelec tendrían coronavirus transcendió la mañana de este viernes"""" tras la realización de las… https://t.co/GRj9p10e7c"
89,1,Coronavirus en Latinoamérica: El país que respondió bien al covid-19 – CNN https://t.co/BRMPjhh9MK
90,1,Los universitarios se han adaptado a cambios causados por el covid-19 https://t.co/aR6EHjZsPa
91,1,???? manifiesta su apoyo al Secretario General de la @OEA_oficial para enfrentar la pandemia de la #Covid_19 https://t.co/2lQuiF0x3K  @Almagro_OEA2015 pidió a instituciones financieras internacionales para apoyar a la región mediante el financiamiento en condiciones concesionales. https://t.co/sKPWSK0wsM
92,1,Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de covid-19 - BBC Mundo ?@Lenin? ?@Educacion_Ec? ??@eluniversocom? ?@elcomerciocom? ??@monserratcream1?  https://t.co/MJJXBHtTmp
93,1,"El número de afectados por covid-19 en Rusia asciende ya a 396.575 tras registrarse 8.952 nuevos casos en las últimas 24 horas"""" según los datos de la sede operativa de gestión de la pandemia de coronavirus en el país. https://t.co/aXlxtozdm4"
94,1,Los universitarios se han adaptado a cambios causados por el covid-19 https://t.co/P7Y5rSh6lr https://t.co/ibYnPEyfJL
95,1,Los universitarios se han adaptado a cambios causados por el covid-19 https://t.co/WgbwsEHbnF https://t.co/9dVwxM4mg8
96,1,Los universitarios se han adaptado a cambios causados por el covid-19 https://t.co/rbllLHfBKG https://t.co/qpcvpDSYFE
97,1,???? Los universitarios se han adaptado a cambios causados por el covid-19| más ?? https://t.co/PffhOELpEt #EducaciónSuperior
98,1,???? Los universitarios se han adaptado a cambios causados por el covid-19| más ? https://t.co/PffhOELpEt #UniversidadesEc| #EducaciónSuperior
99,1,Investigaciones advierten que la hidroxicloroquina incrementa el riesgo de muerte en las personas diagnosticadas con #coronavirus. El Ministerio de Salud (@Salud_Ec) no recomienda su uso en pacientes de #Covid_19. » https://t.co/ChHKNrYpHj https://t.co/qstkUzrezl
100,1,"La pandemia de #coronavirus ha cambiado los riesgos y beneficios en el tratamiento del cáncer"""" de acuerdo a un estudio científico. https://t.co/4arXe5TN7t"
101,1,"Compuestos de amonio cuaternario se utilizan como biocidas para una desinfección efectiva frente a #Covid_19 El de 5ta generación es el recomendado por su amplio espectro bactericida"""" fungicida y virucida.  @elcomerciocom  publicó sobre el tema:  ??https://t.co/hLocwTlnD0 https://t.co/IJeo9WS4zX"
102,1,"La pandemia de #coronavirus ha cambiado los riesgos y beneficios en el tratamiento del cáncer"""" de acuerdo a un estudio científico. ?? https://t.co/4arXe5TN7t"
103,1,Un grupo de monos hurtó muestras de sangre tomadas para detectar #COVID19 en la localidad india de Meerut. https://t.co/LNf500YVoJ
104,1,#URGENTE 1066 casos confirmados de coronavirus en El Oro. 181 fallecidos por COVID-19 en la provincia. https://t.co/Hp6c0OkFSb
105,1,"Cerca del 90% de contagiados de coronavirus ha superado la enfermedad"""" dice el Ministro de Salud ? https://t.co/cozN7yjvI3 https://t.co/zPzoqFjKez"
106,1,#CoreaDelSur????  Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de COVID-19. Más de 200 escuelas en Corea del Sur se han visto forzadas a volver a la enseñanza online pocos… https://t.co/htVjF7IJTz
107,1,Este hallazgo podría explicar la alta prevalencia del coronavirus en las residencias de mayores o centros de cuidados. https://t.co/sEhzAjcNws
108,1,?? #COVID19 | Un estudio realizado por el Municipio de #Portoviejo y la UTM determinó que 8 de cada 10 habitantes del cantón no tienen el virus &gt
109,1,Pandilla de monos 'escapa con muestras de Covid-19' después de atacar a asistente de laboratorio en Delhi https://t.co/VEQZG2Z5Bq
110,1,"#Noticias #Ecuador De 1051 los casos confirmados de coronavirus se elevaron en El Oro a 1062"""" según el último reporte oficial del COE Nacional. El incremento de 11 casos nuevos en las últimas 24 horas fue en su totalidad en Machala. Leer más https://t.co/2J65gGOOBG https://t.co/sXMabV63N1"
111,1,#Coronavirus | Lo que le ocurre a la sangre en los pacientes con #Covid_19 ha generado múltiples interrogantes a los médicos.  ?? https://t.co/iibWkD5YHt https://t.co/IfhaGnU2Ok
112,1,"BBC News Mundo - Coronavirus: Corea del Sur cierra cientos de escuelas recién abiertas tras nuevos brotes de covid-19 https://t.co/Y5CMWQa7ig   Que pasó"""" la apertura sin control era la solución?"
113,1,?? #ATENCIÓN |  #FÚTBOL  El Club Sport #Emelec registra cinco casos positivos de coronavirus #Covid19. El equipo retomó ayer los entrenamientos &gt
114,1,"En Santo Domingo de los Tsáchilas"""" el 80 % de casos detectados de Covid-19 han sido asintomáticos o han presentado cuadros clínicos leves. #HablaEc #HablaEcuador #DiarioDigital #HablaEcuadorEntretenimiento #Salud #SantoDomingo #Ecuador #Coronavirus #Epidemia https://t.co/eipAHajezw"
115,1,"Un error común que cometen los pacientes que superaron el #COVID_19 #coronavirus es repetirse la tomografía muy rápidamente. Esto les causa angustia"""" al ver que el estado de sus pulmones no ha mejorado… https://t.co/sz6oUkSbmP"
116,1,"¿Cómo sabes si puedes volver a realizar actividad física luego de superar el #COVID-19 #coronavirus? ???????????? ???????????? Para evaluar tu capacidad funcional (si puedes caminar"""" cuánto puedes caminar) se realiza… https://t.co/PDKRSNLKIV"
117,1,[EN VIVO] ?? ATENCIÓN: se confirma el fallecimiento de un paciente con coronavirus en el Hospital General de #Macas. Además se registra un primer contagio en el cantón San Juan Bosco https://t.co/k5vOSbJL94 #covid_19 #MoronaSantiago
118,1,"?? Coronavirus | China no registra nuevos casos confirmados de coronavirus por segunda vez desde que comenzó la pandemia. Hasta la fecha"""" hay 82.995 casos confirmados y 4.634 muertos con COVID-19. https://t.co/J3prhlrdIR ? RTVE https://t.co/XWAZbE68MC"
119,1,?? #ATENCIÓN |  #FÚTBOL  El Club Sport #Emelec registra cinco casos positivos de coronavirus #Covid19. El equipo retomó ayer los entrenamientos &gt
120,1,944 casos positivos de COVID-19 registra la provincia Tsáchilas •862 contagiados en el cantón Santo Domingo •82 contagiados en La Concordia   Hasta el momento existen 73 fallecidos por coronavirus y 19 decesos probables de la pandemia.  Fuente: COE provincial de Santo Domingo https://t.co/2NxZrojhBJ
121,1,#Ecuador: Empleador debe cumplir con medidas para la labor presencial de los trabajadores en medio del covid-19  ??El @MinTrabajoEc emitió una guía con lineamientos de bioseguridad para el reinicio de la jornada laboral presencial.  ??@elcomerciocom: https://t.co/zJVqJzxcl9 https://t.co/jdXBvwydx8
122,1,"#JuntosSaldremosAdelante | Gracias al Comité Especial de Emergencia por Coronavirus en Guayaquil"""" que al conocer la situación por la que atraviesa nuestra Provincia nos hizo llegar medicinas?? Estas serán suministradas a pacientes con Covid-19"""" como parte de su tratamiento ?? https://t.co/XqEgNhI3DB"
123,1,Artículo del Washington Post El coronavirus podría no irse jamás Incluso con la vacuna. Expertos piensan que será endémico como el sarampión o el HIV  #Covid_19 https://t.co/nG8EouyrcJ
124,1,?? #ATENCIÓN |  #FÚTBOL  El Club Sport #Emelec registra cinco casos positivos de coronavirus #Covid19. El equipo retomó ayer los entrenamientos &gt
125,1,#COVID__19  #ECUADOR ???? | Ascienden a 38.571 los contagiados y 5.463 fallecidos ? (entre confirmados y probables). En las últimas 24 horas se registraron 100 nuevos casos de #coronavirus  #SucreEnLaNoticia https://t.co/wAVpqadkxS
126,1,"#PresosConMedidasYA | Pese a que @mbachelet"""" @CIDH y @Pontifex_es recomendaron sustituir medidas contra personas privadas que no representan peligro para la sociedad"""" Moreno hizo caso omiso y el resultado es que más de 400 ppl dan positivo en #Covid_19. https://t.co/2HpsyX6rlw"
127,1,"#EMERGENCIA | #COVID_19 #Manabí muestra un crecimiento sostenido del #coronavirus. #Portoviejo"""" #Manta"""" Jipijapa y Montecristi los más afectados.  https://t.co/1gKvXf6npl"
128,1,La cifra de contagiados por coronavirus en Ecuador asciende a 38.571 casos positivos y los fallecidos confirmados por covid-19 son 3.334.  https://t.co/PtKAmJy5pw https://t.co/PiwAHhK4Yp
129,1,@luisevivanco Pana un consejo... no trates de desprestigiar el buen nombre y prestigio del alcalde @LoroHomero el ya tiene posicionado su buen proceder! Yo soy de Guayaquil pero al César lo que es del César!! #coronavirus #COVID__19 #Ecuador #29May #Vot
130,1,"En pocos minutos"""" Presidente @Lenin junto con el @Presidente @CarlosAlvQ y @DrTedros"""" Director General de la @WHO y distintos jefes de Estado"""" presentarán el “COVID-19 Technology Access Pool” https://t.co/v4SIjcOtqz"
131,1,"#Cuenca| Este año el Corpus Christi o llamado Septenario"""" que se celebra cada junio en Cuenca"""" no tendrá la tradicional feria de venta de dulces"""" debido a la emergencia sanitaria por el coronavirus o Covid-19.  #MercurioEc https://t.co/B8iKjQLFX5"
132,1,La líder técnica de Covid-19 de la Organización Mundial de la Salud (OMS) dio a conocer que los animales pueden llegar a contagiarse por el coronavirus es por eso que los zoológicos alrededor del mundo han cerrado sus puertas. https://t.co/laD9tH8ufN
133,1,Un respiro para la humanidad. #Covid_19 #Libano #coronavirus #vaccines #HOAX #Trump https://t.co/sD188xFlzD
